epoch;mse
0;1.5531967916748723E-4
1;1.6333724141373335E-4
2;1.7138690304852928E-4
3;1.7940588723653342E-4
4;1.8732618156361904E-4
5;1.950757759853359E-4
6;2.0258022293260283E-4
7;2.0976448379424588E-4
8;2.165550001995681E-4
9;2.22881903790941E-4
10;2.286812573967493E-4
11;2.3389720658317263E-4
12;2.3848391592547622E-4
13;2.424071705400533E-4
14;2.4564554074112187E-4
15;2.481910349783262E-4
16;2.5004920095263926E-4
17;2.512386734252704E-4
18;2.5179020561945213E-4
19;2.517452552398534E-4
20;2.511542226434221E-4
21;2.500744553593432E-4
22;2.4856813910641807E-4
23;2.4670019117736233E-4
24;2.445362591619749E-4
25;2.4214090883134184E-4
26;2.395760622971055E-4
27;2.3689972391317585E-4
28;2.3416500903584395E-4
29;2.3141947135852064E-4
30;2.287047091008423E-4
31;2.260562192603473E-4
32;2.2350346232573524E-4
33;2.2107009683784996E-4
34;2.1877434328447688E-4
35;2.1662943925637983E-4
36;2.1464415181625233E-4
37;2.1282331796236925E-4
38;2.111683893473157E-4
39;2.096779626148802E-4
40;2.0834828154936907E-4
41;2.0717370150867358E-4
42;2.0614711024496458E-4
43;2.052603021841794E-4
44;2.0450430556564673E-4
45;2.0386966359532883E-4
46;2.033466720160082E-4
47;2.0292557632706012E-4
48;2.025967323756073E-4
49;2.0235073426410764E-4
50;2.021785135423218E-4
51;2.020714135298252E-4
52;2.020212423946497E-4
53;2.020203083308504E-4
54;2.0206143986118956E-4
55;2.0213799396203092E-4
56;2.0224385438138807E-4
57;2.0237342220854582E-4
58;2.0252160046174507E-4
59;2.026837741931207E-4
60;2.0285578736935786E-4
61;2.030339175727168E-4
62;2.0321484937947258E-4
63;2.0339564710995962E-4
64;2.0357372750445297E-4
65;2.0374683275992887E-4
66;2.0391300426217022E-4
67;2.040705572635407E-4
68;2.0421805668700631E-4
69;2.0435429417970259E-4
70;2.0447826649278256E-4
71;2.0458915522685557E-4
72;2.0468630795263568E-4
73;2.0476922069321955E-4
74;2.0483752173664388E-4
75;2.048909567340815E-4
76;2.049293750294392E-4
77;2.0495271715952973E-4
78;2.0496100345982504E-4
79;2.0495432370857758E-4
80;2.0493282774140912E-4
81;2.0489671696896853E-4
82;2.0484623673168282E-4
83;2.0478166942772242E-4
84;2.0470332835289629E-4
85;2.046115521941256E-4
86;2.0450670012129234E-4
87;2.043891474255297E-4
88;2.0425928165533044E-4
89;2.0411749920513786E-4
90;2.0396420231431542E-4
91;2.0379979643751425E-4
92;2.0362468795046668E-4
93;2.0343928215809615E-4
94;2.0324398157454696E-4
95;2.030391844472944E-4
96;2.0282528349988924E-4
97;2.0260266487012957E-4
98;2.0237170722253007E-4
99;2.0213278101588987E-4
100;2.0188624790854317E-4
